City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gotse delchev,41.5667,23.7333,78.73,58,0,0.54,BG,1689919890
1,papatowai,-46.5619,169.4708,43.25,67,9,17.83,NZ,1689919890
2,happy valley-goose bay,53.3168,-60.3315,57.51,82,20,4.61,CA,1689919891
3,west island,-12.1568,96.8225,80.58,69,98,18.41,CC,1689919891
4,ribeira grande,38.5167,-28.7,68.77,94,100,4.0,PT,1689919679
5,pangai,-19.8,-174.35,75.63,84,75,14.14,TO,1689919640
6,kingston,17.997,-76.7936,82.2,85,57,1.01,JM,1689919838
7,cill airne,52.05,-9.5167,52.18,93,95,3.6,IE,1689919893
8,mili,6.0815,171.735,83.08,82,69,18.81,MH,1689919893
9,tiksi,71.6872,128.8694,44.02,66,95,5.86,RU,1689919894
10,hasaki,35.7333,140.8333,86.4,77,57,11.5,JP,1689919894
11,port mathurin,-19.6833,63.4167,74.1,62,14,12.62,MU,1689919895
12,prince rupert,54.3161,-130.3201,60.49,88,40,4.61,CA,1689919895
13,coquimbo,-29.9533,-71.3436,55.13,94,100,3.44,CL,1689919792
14,willemstad,12.1084,-68.9335,81.05,86,4,24.23,CW,1689919896
15,sidney,-33.8679,151.2073,65.61,62,75,13.8,AU,1689919874
16,necochea,-38.5473,-58.7368,48.54,89,97,13.89,AR,1689919897
17,cole harbour,44.6724,-63.4751,66.18,98,56,8.05,CA,1689919897
18,road town,18.4167,-64.6167,82.49,71,35,10.18,VG,1689919898
19,buka,40.8108,69.1986,96.46,14,19,6.85,UZ,1689919898
20,arfoud,31.4348,-4.2375,86.5,16,30,8.21,MA,1689919899
21,corpus christi,27.8006,-97.3964,83.98,87,4,4.0,US,1689919273
22,hermanus,-34.4187,19.2345,41.81,72,7,11.45,ZA,1689919899
23,kodiak,57.79,-152.4072,54.91,82,40,4.61,US,1689919880
24,edinburgh of the seven seas,-37.0676,-12.3116,53.87,68,60,25.84,SH,1689919900
25,port elizabeth,-33.918,25.5701,53.89,66,0,16.11,ZA,1689919901
26,lebu,-37.6167,-73.65,53.01,92,100,14.29,CL,1689919901
27,karditsa,39.3656,21.9217,81.99,32,0,2.37,GR,1689919902
28,hadibu,12.65,54.0333,79.18,76,100,24.94,YE,1689919902
29,whitehorse,60.7161,-135.0538,67.8,44,94,1.01,CA,1689919903
30,holualoa,19.6228,-155.9522,73.24,99,100,5.75,US,1689919903
31,atafu village,-8.5421,-172.5159,83.75,76,12,11.27,TK,1689919904
32,huarmey,-10.0681,-78.1522,68.02,84,33,6.53,PE,1689919904
33,bambari,5.768,20.6757,73.44,91,100,1.97,CF,1689919906
34,mitu,1.1983,-70.1733,70.25,99,87,2.28,CO,1689919907
35,carnarvon,-24.8667,113.6333,69.91,31,66,18.68,AU,1689919907
36,richards bay,-28.783,32.0377,57.92,75,100,3.44,ZA,1689919907
37,gorontalo,0.5412,123.0595,87.84,62,20,8.86,ID,1689919908
38,yuzhno-kurilsk,44.0306,145.8556,62.91,86,68,8.75,RU,1689919828
39,el rosario,24.2556,-107.1828,78.42,73,82,7.07,MX,1689919909
40,gargalianoi,37.0667,21.6333,79.41,46,0,8.12,GR,1689919909
